situated,positioned,positioned,correct
tranquillity,peacefulness,peacefulness,correct
keen,useful,sharp,wrong
costly,expensive,expensive,correct
unlikely,improbable,improbable,correct
temperate,mild,mild,correct
often,frequently,frequently,correct
hastily,hurriedly,hurriedly,correct
prospective,potential,potential,correct
dissipate,disperse,disperse,correct
prolific,productive,productive,correct
percentage,proportion,proportion,correct
uniform,alike,complex,wrong
figure,solve,list,wrong
bigger,larger,larger,correct
arranged,planned,planned,correct
prominent,conspicuous,conspicuous,correct
consumed,eaten,eaten,correct
discrepancies,differences,differences,correct
built,constructed,constructed,correct
